,Image,Labels
1360,train\Moderate\fd48cf452e9d.png,Moderate
2857,train\No_DR\d6130f2ec903.png,No_DR
2343,train\No_DR\901a3552fe26.png,No_DR
2774,train\No_DR\c94f37085d0f.png,No_DR
2303,train\No_DR\8a7765e785fb.png,No_DR
3217,train\Proliferate_DR\254052cf3e48.png,Proliferate_DR
1321,train\Moderate\ef7a4ed8d5d1.png,Moderate
2295,train\No_DR\8906c9ed54a2.png,No_DR
3508,train\Severe\36865bbc64d6.png,Severe
1592,train\No_DR\218c822a3dd9.png,No_DR
3068,train\No_DR\f09cfc6a4dbd.png,No_DR
2819,train\No_DR\d0926ed2c8e5.png,No_DR
3040,train\No_DR\eda29a9d78f3.png,No_DR
2888,train\No_DR\d97911a32918.png,No_DR
1715,train\No_DR\3599029efeb3.png,No_DR
1597,train\No_DR\226c6ceb9185.png,No_DR
906,train\Moderate\876e1dd12d38.png,Moderate
595,train\Moderate\36a1e3c780a0.png,Moderate
271,train\Mild\b6a0e348a01e.png,Mild
935,train\Moderate\8e20b8fac7c3.png,Moderate
576,train\Moderate\300305ce82d2.png,Moderate
2906,train\No_DR\db3cd58aa315.png,No_DR
2823,train\No_DR\d18f6431ebce.png,No_DR
2716,train\No_DR\bf811911acf9.png,No_DR
1533,train\No_DR\19545647508e.png,No_DR
2648,train\No_DR\b6fd109b1bc9.png,No_DR
58,train\Mild\27e4c800a449.png,Mild
1033,train\Moderate\a56230242a95.png,Moderate
1635,train\No_DR\291f581d365e.png,No_DR
2226,train\No_DR\7f6690fa390a.png,No_DR
3297,train\Proliferate_DR\6c3745a222da.png,Proliferate_DR
1740,train\No_DR\3908b3cfd620.png,No_DR
2913,train\No_DR\dce73d90c00c.png,No_DR
2636,train\No_DR\b553e7909535.png,No_DR
1368,train\Moderate\ffec9a18a3ce.png,Moderate
490,train\Moderate\1dd9adcbfff4.png,Moderate
255,train\Mild\a95858e052d6.png,Mild
2877,train\No_DR\d838d5b9f571.png,No_DR
2635,train\No_DR\b549af91bd30.png,No_DR
2236,train\No_DR\80f6b30ece8c.png,No_DR
261,train\Mild\af133a85ea0c.png,Mild
2368,train\No_DR\934104859e68.png,No_DR
1314,train\Moderate\ed2c06fcc573.png,Moderate
2789,train\No_DR\cb68fce07789.png,No_DR
2217,train\No_DR\7ee6de71c140.png,No_DR
2160,train\No_DR\76cb010f7aa0.png,No_DR
2484,train\No_DR\a247961a5cd9.png,No_DR
1674,train\No_DR\2f7fbdcc9a4b.png,No_DR
1068,train\Moderate\ac5b5dddf91b.png,Moderate
3184,train\Proliferate_DR\080f66eedfb9.png,Proliferate_DR
2624,train\No_DR\b351ae99413a.png,No_DR
1189,train\Moderate\cc839823755b.png,Moderate
418,train\Moderate\0da09e3ce8f1.png,Moderate
903,train\Moderate\86e7f98f73f1.png,Moderate
380,train\Moderate\026dcd9af143.png,Moderate
855,train\Moderate\79059d0592c4.png,Moderate
2211,train\No_DR\7e70344b0c25.png,No_DR
3567,train\Severe\810d3779abd9.png,Severe
3213,train\Proliferate_DR\222f3ee3a1e8.png,Proliferate_DR
3550,train\Severe\6e92b1c5ac8e.png,Severe
1265,train\Moderate\e1418d28d668.png,Moderate
438,train\Moderate\12e6e66c80a7.png,Moderate
2609,train\No_DR\b0acd3593310.png,No_DR
2435,train\No_DR\9bd008aab548.png,No_DR
2463,train\No_DR\a06b353e7bed.png,No_DR
1523,train\No_DR\186c1835eec5.png,No_DR
1669,train\No_DR\2eba4279e503.png,No_DR
3498,train\Severe\299086c6d1b5.png,Severe
3478,train\Severe\0cb14014117d.png,Severe
1867,train\No_DR\4c635a01593d.png,No_DR
1205,train\Moderate\d18b1d8ac4de.png,Moderate
3174,train\Proliferate_DR\001639a390f0.png,Proliferate_DR
2222,train\No_DR\7f2123bc89a3.png,No_DR
2024,train\No_DR\6294b378d09f.png,No_DR
1706,train\No_DR\3486f7096276.png,No_DR
907,train\Moderate\878a3a097436.png,Moderate
164,train\Mild\665ce639a331.png,Mild
1423,train\No_DR\0924cec998fa.png,No_DR
974,train\Moderate\99e8bf998285.png,Moderate
2372,train\No_DR\93802d1e3c41.png,No_DR
2530,train\No_DR\a8b3c0961d42.png,No_DR
1302,train\Moderate\e9129ce55fd7.png,Moderate
2155,train\No_DR\76516f828d88.png,No_DR
1634,train\No_DR\29192375ab1b.png,No_DR
2912,train\No_DR\dccdf750c962.png,No_DR
1184,train\Moderate\cb602182cde3.png,Moderate
1496,train\No_DR\14c3b41d289c.png,No_DR
2682,train\No_DR\bac1744955c2.png,No_DR
169,train\Mild\68332fdcaa70.png,Mild
1957,train\No_DR\5889a0c75cac.png,No_DR
54,train\Mild\259d30f693b6.png,Mild
2549,train\No_DR\aa94cc4bfd84.png,No_DR
1986,train\No_DR\5bf6f2958e53.png,No_DR
1133,train\Moderate\be68322c7223.png,Moderate
678,train\Moderate\48c72dec46e5.png,Moderate
1735,train\No_DR\387138ddf43d.png,No_DR
1728,train\No_DR\3730c322d35b.png,No_DR
1439,train\No_DR\0b00f8a77510.png,No_DR
949,train\Moderate\91e8af9ceee9.png,Moderate
1743,train\No_DR\39fd8ef3a45c.png,No_DR
2621,train\No_DR\b294927b14b0.png,No_DR
3576,train\Severe\90b8bf342032.png,Severe
693,train\Moderate\4ce74e5eb51d.png,Moderate
2920,train\No_DR\de18071c36e6.png,No_DR
860,train\Moderate\7b8c78b41c0d.png,Moderate
106,train\Mild\4c129470cec4.png,Mild
986,train\Moderate\9b95d6203406.png,Moderate
723,train\Moderate\525acfea47e8.png,Moderate
2804,train\No_DR\cd941e5bc659.png,No_DR
2447,train\No_DR\9de9421f17e3.png,No_DR
3116,train\No_DR\f7508f14dd7b.png,No_DR
2589,train\No_DR\ae94ce412de9.png,No_DR
3290,train\Proliferate_DR\65e120143825.png,Proliferate_DR
1722,train\No_DR\360832d84ce0.png,No_DR
2470,train\No_DR\a0b7ad98df57.png,No_DR
428,train\Moderate\10ecc5292ab1.png,Moderate
876,train\Moderate\8000a6b97a84.png,Moderate
731,train\Moderate\547b37da9223.png,Moderate
1276,train\Moderate\e34fa07bd64d.png,Moderate
1772,train\No_DR\3f6c627e2ff2.png,No_DR
1289,train\Moderate\e6a58edc5b42.png,Moderate
3417,train\Proliferate_DR\d48178e4a49b.png,Proliferate_DR
611,train\Moderate\3b9c1f42c2f2.png,Moderate
2922,train\No_DR\de38adaae009.png,No_DR
983,train\Moderate\9b32e8ef0ca0.png,Moderate
1517,train\No_DR\17d997fe1090.png,No_DR
3105,train\No_DR\f5c953bee7cd.png,No_DR
2437,train\No_DR\9be71d6d7e59.png,No_DR
766,train\Moderate\5dc23e440de3.png,Moderate
2935,train\No_DR\dfc7ec7db0e0.png,No_DR
64,train\Mild\2d7666b8884f.png,Mild
745,train\Moderate\57f933d3d7c7.png,Moderate
617,train\Moderate\3d3e288d490e.png,Moderate
2326,train\No_DR\8dafa62f9322.png,No_DR
2349,train\No_DR\90960ddf4d14.png,No_DR
1367,train\Moderate\ffcf7b45f213.png,Moderate
3018,train\No_DR\eabc7c716255.png,No_DR
2055,train\No_DR\67d8f94f04e0.png,No_DR
854,train\Moderate\78d53c82a23e.png,Moderate
784,train\Moderate\63c3c571b8ee.png,Moderate
191,train\Mild\7ae69d22075a.png,Mild
2951,train\No_DR\e1b8acb1cea1.png,No_DR
2541,train\No_DR\a9bc2f892cb3.png,No_DR
3067,train\No_DR\f0860c21533b.png,No_DR
16,train\Mild\0a61bddab956.png,Mild
1234,train\Moderate\d94e10f42861.png,Moderate
2556,train\No_DR\ab3c505b624f.png,No_DR
3289,train\Proliferate_DR\65c958379680.png,Proliferate_DR
498,train\Moderate\1f0e223b8055.png,Moderate
2272,train\No_DR\86410aa13b3e.png,No_DR
2194,train\No_DR\7b87b0015282.png,No_DR
872,train\Moderate\7e9458de5707.png,Moderate
1342,train\Moderate\f7edc074f06b.png,Moderate
3644,train\Severe\e4210e7fe587.png,Severe
1990,train\No_DR\5ca779ace6e7.png,No_DR
2157,train\No_DR\76b950c6ed5e.png,No_DR
2965,train\No_DR\e3b47ed5b511.png,No_DR
368,train\Mild\fea14b3d44b0.png,Mild
3530,train\Severe\4f0866b90c27.png,Severe
2830,train\No_DR\d1fa0f744620.png,No_DR
786,train\Moderate\64a13949e879.png,Moderate
267,train\Mild\b50b30aa6e6c.png,Mild
2969,train\No_DR\e47770a2e5d1.png,No_DR
2071,train\No_DR\6a57a3db3eff.png,No_DR
2654,train\No_DR\b759cbef90c5.png,No_DR
2481,train\No_DR\a1edf0e66592.png,No_DR
2073,train\No_DR\6af071b0ac6e.png,No_DR
594,train\Moderate\367c7049929c.png,Moderate
3021,train\No_DR\eb050765b323.png,No_DR
2579,train\No_DR\ad944bd56bb6.png,No_DR
470,train\Moderate\196e6a186452.png,Moderate
2726,train\No_DR\c12e9ca420a5.png,No_DR
893,train\Moderate\84e8c62165b5.png,Moderate
3308,train\Proliferate_DR\70d657f8f503.png,Proliferate_DR
309,train\Mild\cb2f3c5d71a7.png,Mild
1034,train\Moderate\a56729de89e9.png,Moderate
1285,train\Moderate\e5d56f4f359b.png,Moderate
669,train\Moderate\46c1548d730e.png,Moderate
1963,train\No_DR\596f4fdb0004.png,No_DR
1878,train\No_DR\4dd14c380696.png,No_DR
1800,train\No_DR\435414ccccf7.png,No_DR
1433,train\No_DR\0a74c92e287c.png,No_DR
1897,train\No_DR\501c319f7a9f.png,No_DR
1691,train\No_DR\328d141ed3aa.png,No_DR
186,train\Mild\76e589911303.png,Mild
2186,train\No_DR\7a6495a39d87.png,No_DR
2143,train\No_DR\7526c59c36d3.png,No_DR
500,train\Moderate\1f543a86c4d4.png,Moderate
2152,train\No_DR\76095c338728.png,No_DR
857,train\Moderate\799cb4c816ae.png,Moderate
2441,train\No_DR\9c893e16c055.png,No_DR
3641,train\Severe\e19936582c61.png,Severe
1679,train\No_DR\30263a7d5609.png,No_DR
189,train\Mild\79ce83c07588.png,Mild
2264,train\No_DR\848e66b9e199.png,No_DR
1223,train\Moderate\d67374d3fa2a.png,Moderate
3606,train\Severe\b191ba0a2b12.png,Severe
1620,train\No_DR\26d9576e8043.png,No_DR
463,train\Moderate\18af532e7e1e.png,Moderate
1180,train\Moderate\ca9c912ebad7.png,Moderate
3074,train\No_DR\f233638e0e90.png,No_DR
2711,train\No_DR\bed8296c8dfe.png,No_DR
1084,train\Moderate\b0d35981708b.png,Moderate
3225,train\Proliferate_DR\2bbcfdc477db.png,Proliferate_DR
1799,train\No_DR\4350a1b2f3cb.png,No_DR
3055,train\No_DR\ef81cd8854cb.png,No_DR
676,train\Moderate\48afe8c47454.png,Moderate
3295,train\Proliferate_DR\69fff98cb32a.png,Proliferate_DR
615,train\Moderate\3cd801ffdbf0.png,Moderate
206,train\Mild\84a72e15b23c.png,Mild
675,train\Moderate\48543037d0b3.png,Moderate
2528,train\No_DR\a8a6588c8eb7.png,No_DR
2807,train\No_DR\ce8d2efd9d4f.png,No_DR
3486,train\Severe\1623e8e3adc4.png,Severe
769,train\Moderate\5e7630f8438e.png,Moderate
1196,train\Moderate\ce887b196c23.png,Moderate
391,train\Moderate\0519b934f6b1.png,Moderate
3630,train\Severe\d0ffa0425ef1.png,Severe
1559,train\No_DR\1d3e9b939732.png,No_DR
530,train\Moderate\26453eb7e989.png,Moderate
3510,train\Severe\38055d8b9f08.png,Severe
263,train\Mild\b1197f2cc9b3.png,Mild
2288,train\No_DR\881ec6186e68.png,No_DR
3162,train\No_DR\febfb20dc311.png,No_DR
185,train\Mild\76be29bb30b2.png,Mild
173,train\Mild\6cdd0f985270.png,Mild
3590,train\Severe\9fefe2b44795.png,Severe
2814,train\No_DR\cfdbaef73a8b.png,No_DR
1605,train\No_DR\248dec89b3a2.png,No_DR
2813,train\No_DR\cfb17a7cc8d4.png,No_DR
1934,train\No_DR\542964865b1e.png,No_DR
3227,train\Proliferate_DR\2f284b6a1940.png,Proliferate_DR
1010,train\Moderate\a125377fb985.png,Moderate
3394,train\Proliferate_DR\bfefa7344e7d.png,Proliferate_DR
2928,train\No_DR\dea7538bb91a.png,No_DR
1787,train\No_DR\415d5c5e785f.png,No_DR
1207,train\Moderate\d1f1ea894da1.png,Moderate
2855,train\No_DR\d5ad3362424c.png,No_DR
2642,train\No_DR\b64e1eef3d63.png,No_DR
2109,train\No_DR\6e861bc3bd7b.png,No_DR
2053,train\No_DR\66bfec8d6bcd.png,No_DR
2170,train\No_DR\780f9c237c56.png,No_DR
2216,train\No_DR\7ed4128b2a4e.png,No_DR
1575,train\No_DR\1eee55494271.png,No_DR
2671,train\No_DR\b9519abce0c1.png,No_DR
1171,train\Moderate\c8905b8d5cf1.png,Moderate
2554,train\No_DR\ab03d50bba2f.png,No_DR
3157,train\No_DR\fdc685055659.png,No_DR
2837,train\No_DR\d2cd47ed2c1d.png,No_DR
2278,train\No_DR\870fbe6eaa68.png,No_DR
1784,train\No_DR\4134b290f5f3.png,No_DR
1475,train\No_DR\103abbd8b63e.png,No_DR
3284,train\Proliferate_DR\61f403fdb434.png,Proliferate_DR
1982,train\No_DR\5ba156a35ff2.png,No_DR
862,train\Moderate\7bda86d95c5b.png,Moderate
2885,train\No_DR\d911dd40c63b.png,No_DR
1614,train\No_DR\260a455692b5.png,No_DR
3060,train\No_DR\f02057c41256.png,No_DR
3220,train\Proliferate_DR\262ad704319c.png,Proliferate_DR
841,train\Moderate\760b6f4c6d82.png,Moderate
278,train\Mild\bb11db08584a.png,Mild
193,train\Mild\7bf981d9c7fe.png,Mild
1561,train\No_DR\1d74c4713e21.png,No_DR
888,train\Moderate\83d6e40c869f.png,Moderate
2420,train\No_DR\99c626e58464.png,No_DR
2810,train\No_DR\cf6551521a35.png,No_DR
895,train\Moderate\855f0a5442b6.png,Moderate
1522,train\No_DR\1864d3411143.png,No_DR
1358,train\Moderate\fc603cbedb41.png,Moderate
768,train\Moderate\5e52c9fe676f.png,Moderate
1461,train\No_DR\0dbe6c26cedc.png,No_DR
2634,train\No_DR\b532dedd928c.png,No_DR
3393,train\Proliferate_DR\bfdee9be1f1d.png,Proliferate_DR
3620,train\Severe\c3a82acb7d7a.png,Severe
19,train\Mild\0dc031c94225.png,Mild
1832,train\No_DR\482088e6be44.png,No_DR
3104,train\No_DR\f58f0b2fd718.png,No_DR
417,train\Moderate\0d0a21fd354f.png,Moderate
3149,train\No_DR\fca1a8738b8a.png,No_DR
3366,train\Proliferate_DR\a5c9a8c726b2.png,Proliferate_DR
3423,train\Proliferate_DR\dad71ba27a9b.png,Proliferate_DR
3096,train\No_DR\f4e68b61f480.png,No_DR
1689,train\No_DR\3254e48c8aa0.png,No_DR
481,train\Moderate\1c5ad36fb799.png,Moderate
2103,train\No_DR\6e018411ba4a.png,No_DR
536,train\Moderate\2735be026d44.png,Moderate
2104,train\No_DR\6e092caa065f.png,No_DR
2639,train\No_DR\b5b913358b32.png,No_DR
2009,train\No_DR\5f6db235c04d.png,No_DR
2414,train\No_DR\99240ee00485.png,No_DR
3324,train\Proliferate_DR\7e0598cc88a0.png,Proliferate_DR
12,train\Mild\07a1c7073982.png,Mild
409,train\Moderate\0ac436400db4.png,Moderate
677,train\Moderate\48c49f662f7d.png,Moderate
2473,train\No_DR\a11c62cb3f86.png,No_DR
2644,train\No_DR\b67ae80f7eba.png,No_DR
2199,train\No_DR\7c2e852171c0.png,No_DR
2436,train\No_DR\9be0683649ff.png,No_DR
3011,train\No_DR\e9faf0296643.png,No_DR
3235,train\Proliferate_DR\3796af4d987a.png,Proliferate_DR
3568,train\Severe\8201cab8322d.png,Severe
1052,train\Moderate\a8eb35b3bcd2.png,Moderate
2134,train\No_DR\73a07e2ea23e.png,No_DR
889,train\Moderate\840527bc6628.png,Moderate
3083,train\No_DR\f36cb007a1ef.png,No_DR
479,train\Moderate\1c4d87baaffc.png,Moderate
2498,train\No_DR\a45c30da0c72.png,No_DR
3050,train\No_DR\ef4121e9bb67.png,No_DR
690,train\Moderate\4b5ffea77373.png,Moderate
2351,train\No_DR\90a9a41eec6d.png,No_DR
192,train\Mild\7b20210d9120.png,Mild
2946,train\No_DR\e12f9f19d1be.png,No_DR
3286,train\Proliferate_DR\63b4d030b016.png,Proliferate_DR
1892,train\No_DR\4f6abc40c72d.png,No_DR
45,train\Mild\1d674e2e32e0.png,Mild
3115,train\No_DR\f71bea807c96.png,No_DR
1362,train\Moderate\ff0740cb484a.png,Moderate
468,train\Moderate\1943983492e5.png,Moderate
509,train\Moderate\217dad18a5ed.png,Moderate
3543,train\Severe\6735931000ec.png,Severe
2125,train\No_DR\7214fc7cbe03.png,No_DR
1755,train\No_DR\3bf3085ac167.png,No_DR
145,train\Mild\5a091e8cd95c.png,Mild
2012,train\No_DR\609be3ca5ddf.png,No_DR
2004,train\No_DR\5ea9e447bb62.png,No_DR
2422,train\No_DR\9a1029536d78.png,No_DR
1212,train\Moderate\d29096bd94aa.png,Moderate
2520,train\No_DR\a7c10ca6c117.png,No_DR
2443,train\No_DR\9cf7c1349673.png,No_DR
3557,train\Severe\762d6e5d5068.png,Severe
3625,train\Severe\c76664770c07.png,Severe
727,train\Moderate\52dbec057cc8.png,Moderate
272,train\Mild\b71428739d4e.png,Mild
3450,train\Proliferate_DR\f0098e9d4aee.png,Proliferate_DR
3516,train\Severe\3fa4f4d77177.png,Severe
2683,train\No_DR\bacfa2b8e706.png,No_DR
867,train\Moderate\7d261f986bef.png,Moderate
501,train\Moderate\1f63d44d9e3c.png,Moderate
1901,train\No_DR\5077cdb88aed.png,No_DR
3456,train\Proliferate_DR\f549294e12e1.png,Proliferate_DR
764,train\Moderate\5cf9127f251a.png,Moderate
104,train\Mild\4a213b405ee4.png,Mild
3561,train\Severe\7b29e3783919.png,Severe
3612,train\Severe\b7e0f95353f2.png,Severe
374,train\Moderate\012a242ac6ff.png,Moderate
756,train\Moderate\5a36cea278ae.png,Moderate
3517,train\Severe\405b4f78658f.png,Severe
2406,train\No_DR\983c98354e9c.png,No_DR
2183,train\No_DR\7a39c91416e2.png,No_DR
313,train\Mild\cd5714db652d.png,Mild
3623,train\Severe\c5ba9e455d5e.png,Severe
598,train\Moderate\37de05ef12a5.png,Moderate
2274,train\No_DR\8660e1864665.png,No_DR
2937,train\No_DR\e01b7bac822b.png,No_DR
830,train\Moderate\71e4130bf5c8.png,Moderate
180,train\Mild\7335a2d43ada.png,Mild
2861,train\No_DR\d6b109c82067.png,No_DR
519,train\Moderate\2376e5415458.png,Moderate
2000,train\No_DR\5de4615a5161.png,No_DR
443,train\Moderate\1414128bead0.png,Moderate
2257,train\No_DR\83d81ba5959c.png,No_DR
3191,train\Proliferate_DR\0e82bcacc475.png,Proliferate_DR
3254,train\Proliferate_DR\46d3316c4857.png,Proliferate_DR
2874,train\No_DR\d7bc62d60e8c.png,No_DR
2768,train\No_DR\c7d0deb71576.png,No_DR
1357,train\Moderate\fc4d69128e7c.png,Moderate
628,train\Moderate\3f8d5c940ba4.png,Moderate
1372,train\No_DR\00cc2b75cddd.png,No_DR
1594,train\No_DR\2221cf5c7935.png,No_DR
2612,train\No_DR\b0f0fa677d5f.png,No_DR
2080,train\No_DR\6bcce181be65.png,No_DR
2294,train\No_DR\88e5051f65bd.png,No_DR
2977,train\No_DR\e5197d77ec68.png,No_DR
1875,train\No_DR\4d17559ac1e2.png,No_DR
1738,train\No_DR\38c7153457e2.png,No_DR
3661,train\Severe\fe0fc67c7980.png,Severe
1555,train\No_DR\1d0b93317aa8.png,No_DR
637,train\Moderate\423abbaa5fad.png,Moderate
2517,train\No_DR\a7673ac44509.png,No_DR
170,train\Mild\6b00cb764237.png,Mild
754,train\Moderate\5a11d21c2828.png,Moderate
1852,train\No_DR\4a96c28f3f07.png,No_DR
1573,train\No_DR\1ec95179cdfe.png,No_DR
2562,train\No_DR\ab88081e5654.png,No_DR
1359,train\Moderate\fcc55ae641ae.png,Moderate
622,train\Moderate\3e1f8fecb06f.png,Moderate
2594,train\No_DR\aec51513cf45.png,No_DR
305,train\Mild\ca6842bfcbc9.png,Mild
205,train\Mild\849a91e9ab28.png,Mild
3205,train\Proliferate_DR\1e9224ccca95.png,Proliferate_DR
1779,train\No_DR\404ede327e98.png,No_DR
1193,train\Moderate\cd3fd04d72f5.png,Moderate
3163,train\No_DR\fed5bb685832.png,No_DR
3337,train\Proliferate_DR\8785b71238d8.png,Proliferate_DR
2300,train\No_DR\898f0bc8acfa.png,No_DR
31,train\Mild\13ab8db8c700.png,Mild
2847,train\No_DR\d436c06f0490.png,No_DR
2466,train\No_DR\a07d9a5045cb.png,No_DR
1999,train\No_DR\5db895d3f1fc.png,No_DR
2348,train\No_DR\9095d43fb132.png,No_DR
1851,train\No_DR\4a5a6efc0bef.png,No_DR
476,train\Moderate\1b8ad0afe9fb.png,Moderate
351,train\Mild\eed4afc8ec83.png,Mild
1760,train\No_DR\3ca12e02dd4e.png,No_DR
1393,train\No_DR\050bb1eafa76.png,No_DR
1283,train\Moderate\e540d2e35d15.png,Moderate
3134,train\No_DR\fa573163dd8b.png,No_DR
1633,train\No_DR\28f73575e1f2.png,No_DR
1206,train\Moderate\d18e5b68f6d2.png,Moderate
2412,train\No_DR\9910c827e2fe.png,No_DR
1337,train\Moderate\f4d3777f2710.png,Moderate
2730,train\No_DR\c21eb81de9fc.png,No_DR
2663,train\No_DR\b82dfa63a75f.png,No_DR
538,train\Moderate\27b68863349f.png,Moderate
2307,train\No_DR\8aa3c4681542.png,No_DR
710,train\Moderate\51405d042000.png,Moderate
1515,train\No_DR\178412895d5e.png,No_DR
93,train\Mild\3f73c91b7e32.png,Mild
3589,train\Severe\9f37c98b8187.png,Severe
946,train\Moderate\91a88d3b0358.png,Moderate
831,train\Moderate\7247a2c97f71.png,Moderate
3109,train\No_DR\f66c4ee86629.png,No_DR
131,train\Mild\5548a7961a3e.png,Mild
2686,train\No_DR\bb2f89488ecd.png,No_DR
182,train\Mild\73881f55a3ec.png,Mild
2386,train\No_DR\959bb2d01091.png,No_DR
14,train\Mild\09935d72892b.png,Mild
658,train\Moderate\44e0d56e9d42.png,Moderate
698,train\Moderate\4dbce359d0e1.png,Moderate
3216,train\Proliferate_DR\247e98aba610.png,Proliferate_DR
554,train\Moderate\2a47e5b21791.png,Moderate
2723,train\No_DR\c06024f05a16.png,No_DR
3336,train\Proliferate_DR\87774aafe068.png,Proliferate_DR
2647,train\No_DR\b6d9974443ce.png,No_DR
741,train\Moderate\57469423a012.png,Moderate
548,train\Moderate\295fdc964f6e.png,Moderate
2095,train\No_DR\6d5a8362dd1e.png,No_DR
948,train\Moderate\91e2c2890c9f.png,Moderate
3261,train\Proliferate_DR\4ccfa0b4e96c.png,Proliferate_DR
790,train\Moderate\657859f893d9.png,Moderate
2599,train\No_DR\af6a1508cd95.png,No_DR
3170,train\No_DR\ff59d44a70a7.png,No_DR
3127,train\No_DR\f91cfa82b9d4.png,No_DR
3515,train\Severe\3f49f8d100e9.png,Severe
1446,train\No_DR\0c43c79e8cfb.png,No_DR
1482,train\No_DR\11b220a397b8.png,No_DR
2664,train\No_DR\b835b6e31a59.png,No_DR
1811,train\No_DR\445a8a6da55c.png,No_DR
3307,train\Proliferate_DR\702de9dcde32.png,Proliferate_DR
828,train\Moderate\7102f29e052e.png,Moderate
3159,train\No_DR\fe0e2dee1834.png,No_DR
3200,train\Proliferate_DR\1a7e3356b39c.png,Proliferate_DR
1408,train\No_DR\07751b94a88a.png,No_DR
34,train\Mild\17eff993386f.png,Mild
2988,train\No_DR\e66855a5c583.png,No_DR
134,train\Mild\5671eb95512b.png,Mild
3030,train\No_DR\ec6659926105.png,No_DR
930,train\Moderate\8d62ba9cb22a.png,Moderate
2638,train\No_DR\b5a3ca5c0a80.png,No_DR
2524,train\No_DR\a85cda5f725d.png,No_DR
2755,train\No_DR\c5b58cc992af.png,No_DR
112,train\Mild\4dd9d29eae5d.png,Mild
1106,train\Moderate\b762c29cf2f3.png,Moderate
544,train\Moderate\28f93cad89c5.png,Moderate
2901,train\No_DR\da949aa67a4f.png,No_DR
1598,train\No_DR\22d843b2bbd1.png,No_DR
1065,train\Moderate\abf09c44d5f4.png,Moderate
299,train\Mild\c9485c38fdd5.png,Mild
2011,train\No_DR\606daaf0bfc7.png,No_DR
526,train\Moderate\2532613a584a.png,Moderate
616,train\Moderate\3cdda8b3df19.png,Moderate
511,train\Moderate\2241b7e90782.png,Moderate
2477,train\No_DR\a188c60b93fb.png,No_DR
1827,train\No_DR\4704dbb59536.png,No_DR
1687,train\No_DR\318eb706a134.png,No_DR
2839,train\No_DR\d2dc86021c67.png,No_DR
1462,train\No_DR\0e0003ddd8df.png,No_DR
298,train\Mild\c8fc0df22999.png,Mild
3329,train\Proliferate_DR\838c87c63422.png,Proliferate_DR
2815,train\No_DR\cfed7c1172ec.png,No_DR
3600,train\Severe\aba3063c5413.png,Severe
1565,train\No_DR\1df0431bfa73.png,No_DR
432,train\Moderate\115e42dd6a81.png,Moderate
1695,train\No_DR\3323fd59782e.png,No_DR
2511,train\No_DR\a6731dd737af.png,No_DR
652,train\Moderate\441117562359.png,Moderate
2489,train\No_DR\a2dff8dbc9f8.png,No_DR
1777,train\No_DR\401fdfd0db07.png,No_DR
1548,train\No_DR\1c9c583c10bf.png,No_DR
398,train\Moderate\07a3be30563b.png,Moderate
859,train\Moderate\7a0cff4c24b2.png,Moderate
1085,train\Moderate\b0d6417bad3e.png,Moderate
2932,train\No_DR\df0886f1e76b.png,No_DR
2113,train\No_DR\6f689fced922.png,No_DR
531,train\Moderate\26999ebc21de.png,Moderate
3049,train\No_DR\ef247f28004f.png,No_DR
467,train\Moderate\191348830ddf.png,Moderate
38,train\Mild\19e350c7c83c.png,Mild
3123,train\No_DR\f86d1c404acb.png,No_DR
2743,train\No_DR\c3b15bf9b4bc.png,No_DR
3493,train\Severe\237c078d00fc.png,Severe
1758,train\No_DR\3c42512c81e0.png,No_DR
2841,train\No_DR\d30d079e6f9a.png,No_DR
1262,train\Moderate\e10190a9d52f.png,Moderate
3152,train\No_DR\fd079d2e93a2.png,No_DR
1353,train\Moderate\fac399455195.png,Moderate
1152,train\Moderate\c48ae5da188e.png,Moderate
1083,train\Moderate\b0cc9f8d06e4.png,Moderate
1483,train\No_DR\11d8e5eaee5b.png,No_DR
3327,train\Proliferate_DR\80964d8e0863.png,Proliferate_DR
3119,train\No_DR\f7e9fa75c7c1.png,No_DR
2328,train\No_DR\8e4a354e3da2.png,No_DR
1505,train\No_DR\15f8d769935c.png,No_DR
961,train\Moderate\96c3e3db68bc.png,Moderate
3501,train\Severe\2bbd1f99ecc3.png,Severe
3177,train\Proliferate_DR\02685f13cefd.png,Proliferate_DR
3097,train\No_DR\f4ea2a2cfbb9.png,No_DR
1080,train\Moderate\af8aa32beee4.png,Moderate
1610,train\No_DR\253e96488cfb.png,No_DR
94,train\Mild\4029d70e9d8a.png,Mild
2631,train\No_DR\b4b04d81acbb.png,No_DR
1894,train\No_DR\4fd5ec0dca09.png,No_DR
950,train\Moderate\921433215353.png,Moderate
1746,train\No_DR\3abac0961bfd.png,No_DR
1794,train\No_DR\42985aa2e32f.png,No_DR
1002,train\Moderate\9faad91b6578.png,Moderate
805,train\Moderate\69591ebb198d.png,Moderate
797,train\Moderate\6733544ae7a6.png,Moderate
703,train\Moderate\4ef0b485a7da.png,Moderate
2728,train\No_DR\c1819db0aece.png,No_DR
1660,train\No_DR\2cfe8703f265.png,No_DR
1304,train\Moderate\e9f82b5bbaf4.png,Moderate
316,train\Mild\cfd1bd0fcbb4.png,Mild
387,train\Moderate\0415fc68b176.png,Moderate
1072,train\Moderate\ad570b850a4f.png,Moderate
137,train\Mild\578109578b46.png,Mild
440,train\Moderate\135575dc57c9.png,Moderate
122,train\Mild\51131b48f9d4.png,Mild
